level,live_active_gt_ms,frozen_active_gt_ms,live_minus_frozen_ms,live_cpu_util_pct,live_gpu_util_pct,cpu_dominant_pct,live_actor_ticks_ms,live_world_tick_ms,live_skinned_mesh_ms,live_blueprint_ms,live_app_gpu_ms,frozen_app_gpu_ms,budget_miss_pct,p99_gt_ms,kills,teleports,interpretation
Oasis,13.4,4.954,8.446,94.7,77.8,93.9,4.119,9.386,0.905,0.784,10.78,9.585,75.5,26.34,91,0,Live simulation adds the dominant CPU cost; static view rendering alone does not explain it.
Purification II,12.89,5.103,7.788,93.7,76.6,95.5,4.098,8.944,0.892,0.724,10.72,10.73,77.2,26.97,23,28,Live simulation adds the dominant CPU cost; static view rendering alone does not explain it.
