name,extension,content_type,expected_bytes,actual_bytes,size_ok,expected_sha256,actual_sha256,sha256_ok,url
Mines_spotB_gpustages.txt,.txt,text/plain; charset=utf-8,467921,467921,True,80efe68d8e396568e4e48f7cd13fd68af3cd7ce161bfa2e25413e04b7563b031,80efe68d8e396568e4e48f7cd13fd68af3cd7ce161bfa2e25413e04b7563b031,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Mines_spotB_gpustages.txt
Mines_spotB_insights.png,.png,image/png,6858788,6858788,True,94cdc9ea3aee4a0d52519272b21cf4fd747c65d74551ca981bbce7acea9a43b5,94cdc9ea3aee4a0d52519272b21cf4fd747c65d74551ca981bbce7acea9a43b5,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Mines_spotB_insights.png
Moon_spotA.png,.png,image/png,931997,931997,True,d364e33ca343dc66b0fc84c0d1fdecb87192c1f918a09bb42699a62675c2c97e,d364e33ca343dc66b0fc84c0d1fdecb87192c1f918a09bb42699a62675c2c97e,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Moon_spotA.png
Moon_spotA.rdc,.rdc,application/octet-stream,349453168,349453168,True,f9bb10c63834a07ef6b458e00648fb5acb0640f398c4ef412536604870100608,f9bb10c63834a07ef6b458e00648fb5acb0640f398c4ef412536604870100608,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Moon_spotA.rdc
Moon_spotA_gpustages.txt,.txt,text/plain; charset=utf-8,473779,473779,True,b009b481b36a02ea1ed5c57d623cbc48d29ba9b563fe07f3f168f70238c91792,b009b481b36a02ea1ed5c57d623cbc48d29ba9b563fe07f3f168f70238c91792,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Moon_spotA_gpustages.txt
Moon_spotA_insights.png,.png,image/png,5526258,5526258,True,e6cb38697ac77acc8c9b715148584db14c95ce560086a56a59afa78d84b36fdb,e6cb38697ac77acc8c9b715148584db14c95ce560086a56a59afa78d84b36fdb,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Moon_spotA_insights.png
Moon_spotB.png,.png,image/png,1719877,1719877,True,088b722fea7eb3293b2a8fc191ea83fbd2b30e01a9529cb38b0fd5766f194dae,088b722fea7eb3293b2a8fc191ea83fbd2b30e01a9529cb38b0fd5766f194dae,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Moon_spotB.png
Moon_spotB.rdc,.rdc,application/octet-stream,358092518,358092518,True,cb44e4b5adc82dd6ad579fe72751d12b9c586fdad615c8706d2ae2e7a4064f65,cb44e4b5adc82dd6ad579fe72751d12b9c586fdad615c8706d2ae2e7a4064f65,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Moon_spotB.rdc
Moon_spotB_gpustages.txt,.txt,text/plain; charset=utf-8,502715,502715,True,19b328445cc27af7e990f28f168546c995d3c98c3c1b0c9ae8f5177b6be79b49,19b328445cc27af7e990f28f168546c995d3c98c3c1b0c9ae8f5177b6be79b49,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Moon_spotB_gpustages.txt
Moon_spotB_insights.png,.png,image/png,6610963,6610963,True,dd6cd1ffac77f8de38a3db885f57fb7dd40fd4213072664cce30101a7f4bce1b,dd6cd1ffac77f8de38a3db885f57fb7dd40fd4213072664cce30101a7f4bce1b,True,https://roboquestvr-quest3-performance.elliotttate.chatgpt.site/api/downloads/rq3-86269d35efae42dcb8ab6a04/Moon_spotB_insights.png
