level,thread_group,timer,avg_ms_per_call,inclusive_ms_per_frame,median_ms_per_call,max_ms_per_call,calls_per_frame
Moon,GameThread,FEngineLoop::Tick (total frame),16.52,16.52,15.17,241.7,1.0
Moon,GameThread,WaitFrame (pacing),3.46,3.46,3.23,78.5,1.0
Moon,GameThread,UWorld tick,9.36,9.36,9.45,60.6,1.0
Moon,GameThread,Component ticks,0.04,4.59,0.0,24.5,119.6
Moon,GameThread,Skinned mesh (animation),0.06,0.81,0.04,3.6,13.4
Moon,GameThread,Blueprint ReceiveTick,0.02,0.74,0.0,2.4,40.9
Moon,GameThread,Widget updates,,,,,
Moon,GameThread,Slate prepass,,,,,
Moon,RenderThread,InitViews (visibility),0.38,2.25,0.0,8.0,6.0
Moon,RenderThread,Primitive scene infos,0.64,1.93,0.14,13.0,3.0
Moon,RenderThread,MobileBasePass,0.53,1.06,0.82,78.6,2.0
Moon,RenderThread,Slate render,0.05,1.07,0.0,5.5,21.1
Moon,RenderThread,RenderFinish,0.04,0.12,0.03,2.9,3.0
Moon,RenderThread,BeginFrame,0.11,0.11,0.03,11.3,1.0
Nasa,GameThread,FEngineLoop::Tick (total frame),16.19,16.19,15.72,262.4,1.0
Nasa,GameThread,WaitFrame (pacing),3.75,3.75,3.71,90.6,1.0
Nasa,GameThread,UWorld tick,8.83,8.83,9.33,56.7,1.0
Nasa,GameThread,Component ticks,0.04,4.5,0.0,45.5,127.5
Nasa,GameThread,Skinned mesh (animation),0.06,0.9,0.0,45.4,14.7
Nasa,GameThread,Blueprint ReceiveTick,0.01,0.66,0.0,2.8,47.5
Nasa,GameThread,Widget updates,,,,,
Nasa,GameThread,Slate prepass,,,,,
Nasa,RenderThread,InitViews (visibility),0.43,2.29,0.08,7.8,5.3
Nasa,RenderThread,Primitive scene infos,0.73,2.19,0.01,20.9,3.0
Nasa,RenderThread,MobileBasePass,0.75,1.5,0.5,46.9,2.0
Nasa,RenderThread,Slate render,0.04,1.17,0.04,4.3,26.4
Nasa,RenderThread,RenderFinish,0.04,0.13,0.04,3.6,3.0
Nasa,RenderThread,BeginFrame,0.09,0.09,0.03,12.5,1.0
Oasis,GameThread,FEngineLoop::Tick (total frame),14.81,14.81,13.45,232.2,1.0
Oasis,GameThread,WaitFrame (pacing),3.31,3.31,2.54,81.8,1.0
Oasis,GameThread,UWorld tick,8.14,8.14,7.93,83.2,1.0
Oasis,GameThread,Component ticks,0.03,3.86,0.0,6.3,150.7
Oasis,GameThread,Skinned mesh (animation),0.06,0.66,0.03,3.0,11.7
Oasis,GameThread,Blueprint ReceiveTick,0.01,0.56,0.0,4.8,41.9
Oasis,GameThread,Widget updates,,,,,
Oasis,GameThread,Slate prepass,,,,,
Oasis,RenderThread,InitViews (visibility),0.39,2.04,0.0,37.0,5.2
Oasis,RenderThread,Primitive scene infos,0.55,1.65,0.15,13.4,3.0
Oasis,RenderThread,MobileBasePass,0.54,1.08,0.52,24.8,2.0
Oasis,RenderThread,Slate render,0.05,0.97,0.0,9.1,19.9
Oasis,RenderThread,RenderFinish,0.04,0.12,0.06,5.6,3.0
Oasis,RenderThread,BeginFrame,0.08,0.08,0.03,10.4,1.0
Purification_Water_0,GameThread,FEngineLoop::Tick (total frame),14.37,14.37,14.03,68.1,1.0
Purification_Water_0,GameThread,WaitFrame (pacing),5.16,5.16,5.26,42.9,1.0
Purification_Water_0,GameThread,UWorld tick,6.18,6.18,6.04,59.5,1.0
Purification_Water_0,GameThread,Component ticks,0.03,2.72,0.0,11.0,92.7
Purification_Water_0,GameThread,Skinned mesh (animation),0.04,0.42,0.03,2.8,9.4
Purification_Water_0,GameThread,Blueprint ReceiveTick,0.02,0.71,0.0,6.1,39.0
Purification_Water_0,GameThread,Widget updates,,,,,
Purification_Water_0,GameThread,Slate prepass,,,,,
Purification_Water_0,RenderThread,InitViews (visibility),0.38,2.29,0.0,21.2,6.0
Purification_Water_0,RenderThread,Primitive scene infos,0.51,1.51,0.06,5.0,3.0
Purification_Water_0,RenderThread,MobileBasePass,0.56,1.14,0.42,6.7,2.0
Purification_Water_0,RenderThread,Slate render,0.04,0.79,0.04,3.8,21.9
Purification_Water_0,RenderThread,RenderFinish,0.04,0.13,0.04,3.6,3.0
Purification_Water_0,RenderThread,BeginFrame,0.16,0.16,0.03,8.5,1.0
Purification_Water_1,GameThread,FEngineLoop::Tick (total frame),15.21,15.21,13.49,257.6,1.0
Purification_Water_1,GameThread,WaitFrame (pacing),4.14,4.14,3.93,54.7,1.0
Purification_Water_1,GameThread,UWorld tick,7.79,7.79,7.47,137.7,1.0
Purification_Water_1,GameThread,Component ticks,0.04,3.6,0.0,6.6,97.8
Purification_Water_1,GameThread,Skinned mesh (animation),0.08,0.73,0.06,2.7,8.6
